"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 19:35:00,0.202%,0.403%,0%,0.806%,0.202%,98.4%
2023-06-30 19:35:15,18.1%,11.9%,0%,7.80%,1.85%,60.4%
2023-06-30 19:35:30,16.0%,10.5%,0%,7.69%,4.25%,61.5%
2023-06-30 19:35:45,16.7%,11.6%,0%,7.52%,1.42%,62.8%
2023-06-30 19:36:00,19.3%,10.7%,0%,7.55%,3.56%,58.9%
2023-06-30 19:36:15,17.9%,11.3%,0%,7.84%,1.24%,61.6%
2023-06-30 19:36:30,19.7%,12.6%,0%,7.93%,3.05%,56.7%
2023-06-30 19:36:45,0.402%,0.604%,0%,0.805%,0.201%,98.0%

