client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,56,host96.domain243.rsx218-dox.cnam.fr,18.503459ms,22.360857ms
client-1.rsx218-dox.cnam.fr,57,host217.domain188.rsx218-dox.cnam.fr,20.152395ms,22.322105ms
client-1.rsx218-dox.cnam.fr,58,host238.domain19.rsx218-dox.cnam.fr,20.069619ms,22.283259ms
client-1.rsx218-dox.cnam.fr,59,host80.domain106.rsx218-dox.cnam.fr,20.935056ms,22.260407ms
client-1.rsx218-dox.cnam.fr,60,host208.domain1.rsx218-dox.cnam.fr,22.498706ms,22.264367ms
client-1.rsx218-dox.cnam.fr,61,host84.domain237.rsx218-dox.cnam.fr,22.085801ms,22.261426ms
client-1.rsx218-dox.cnam.fr,62,host163.domain135.rsx218-dox.cnam.fr,23.312971ms,22.278371ms
client-1.rsx218-dox.cnam.fr,63,host143.domain132.rsx218-dox.cnam.fr,21.255749ms,22.262127ms
client-1.rsx218-dox.cnam.fr,64,host58.domain109.rsx218-dox.cnam.fr,20.015999ms,22.227016ms
client-1.rsx218-dox.cnam.fr,65,host194.domain185.rsx218-dox.cnam.fr,21.602845ms,22.217400ms
client-1.rsx218-dox.cnam.fr,66,host122.domain207.rsx218-dox.cnam.fr,20.828714ms,22.196348ms
client-1.rsx218-dox.cnam.fr,67,host149.domain10.rsx218-dox.cnam.fr,22.292206ms,22.197776ms
client-1.rsx218-dox.cnam.fr,68,host103.domain120.rsx218-dox.cnam.fr,21.644789ms,22.189632ms
client-1.rsx218-dox.cnam.fr,69,host240.domain39.rsx218-dox.cnam.fr,22.042428ms,22.187493ms
client-1.rsx218-dox.cnam.fr,70,host150.domain231.rsx218-dox.cnam.fr,24.565145ms,22.221457ms
client-1.rsx218-dox.cnam.fr,71,host243.domain248.rsx218-dox.cnam.fr,19.318852ms,22.180563ms
client-1.rsx218-dox.cnam.fr,72,host186.domain230.rsx218-dox.cnam.fr,19.53076ms,22.143750ms
client-1.rsx218-dox.cnam.fr,73,host82.domain77.rsx218-dox.cnam.fr,24.573207ms,22.177027ms
client-1.rsx218-dox.cnam.fr,74,host240.domain145.rsx218-dox.cnam.fr,18.985561ms,22.133892ms
client-1.rsx218-dox.cnam.fr,75,host180.domain200.rsx218-dox.cnam.fr,22.272242ms,22.135733ms
client-1.rsx218-dox.cnam.fr,76,host74.domain66.rsx218-dox.cnam.fr,24.450817ms,22.166184ms
client-1.rsx218-dox.cnam.fr,77,host189.domain188.rsx218-dox.cnam.fr,29.475401ms,22.261104ms
client-1.rsx218-dox.cnam.fr,78,host156.domain58.rsx218-dox.cnam.fr,19.71042ms,22.228397ms
client-1.rsx218-dox.cnam.fr,79,host209.domain234.rsx218-dox.cnam.fr,18.4519ms,22.180582ms
client-1.rsx218-dox.cnam.fr,80,host239.domain56.rsx218-dox.cnam.fr,18.314234ms,22.132250ms
client-1.rsx218-dox.cnam.fr,81,host11.domain234.rsx218-dox.cnam.fr,17.694232ms,22.077457ms
client-1.rsx218-dox.cnam.fr,82,host173.domain193.rsx218-dox.cnam.fr,19.324177ms,22.043878ms
client-1.rsx218-dox.cnam.fr,83,host14.domain28.rsx218-dox.cnam.fr,18.670895ms,22.003229ms
client-1.rsx218-dox.cnam.fr,84,host197.domain62.rsx218-dox.cnam.fr,18.434518ms,21.960738ms
client-1.rsx218-dox.cnam.fr,85,host82.domain25.rsx218-dox.cnam.fr,23.075976ms,21.973847ms
client-1.rsx218-dox.cnam.fr,86,host143.domain168.rsx218-dox.cnam.fr,19.995394ms,21.950837ms
client-1.rsx218-dox.cnam.fr,87,host29.domain177.rsx218-dox.cnam.fr,18.855103ms,21.915253ms
client-1.rsx218-dox.cnam.fr,88,host234.domain202.rsx218-dox.cnam.fr,19.757403ms,21.890727ms
client-1.rsx218-dox.cnam.fr,89,host75.domain198.rsx218-dox.cnam.fr,17.667981ms,21.843270ms
client-1.rsx218-dox.cnam.fr,90,host146.domain43.rsx218-dox.cnam.fr,19.853053ms,21.821156ms
client-1.rsx218-dox.cnam.fr,91,host156.domain179.rsx218-dox.cnam.fr,19.503412ms,21.795681ms
client-1.rsx218-dox.cnam.fr,92,host7.domain223.rsx218-dox.cnam.fr,19.831901ms,21.774326ms
client-1.rsx218-dox.cnam.fr,93,host21.domain215.rsx218-dox.cnam.fr,19.096441ms,21.745527ms
client-1.rsx218-dox.cnam.fr,94,host36.domain29.rsx218-dox.cnam.fr,17.896824ms,21.704574ms
client-1.rsx218-dox.cnam.fr,95,host141.domain151.rsx218-dox.cnam.fr,17.978399ms,21.665347ms
client-1.rsx218-dox.cnam.fr,96,host135.domain122.rsx218-dox.cnam.fr,17.948432ms,21.626625ms
client-1.rsx218-dox.cnam.fr,97,host227.domain33.rsx218-dox.cnam.fr,20.269397ms,21.612629ms
client-1.rsx218-dox.cnam.fr,98,host196.domain31.rsx218-dox.cnam.fr,18.891678ms,21.584857ms
client-1.rsx218-dox.cnam.fr,99,host68.domain220.rsx218-dox.cnam.fr,25.598848ms,21.625394ms
client-1.rsx218-dox.cnam.fr,100,host36.domain172.rsx218-dox.cnam.fr,18.73608ms,21.596500ms
client-1.rsx218-dox.cnam.fr,101,host54.domain83.rsx218-dox.cnam.fr,18.24695ms,21.563327ms
client-1.rsx218-dox.cnam.fr,102,host235.domain130.rsx218-dox.cnam.fr,17.812594ms,21.526549ms
client-1.rsx218-dox.cnam.fr,103,host52.domain140.rsx218-dox.cnam.fr,17.636507ms,21.488777ms
client-1.rsx218-dox.cnam.fr,104,host138.domain115.rsx218-dox.cnam.fr,18.812536ms,21.463038ms
client-1.rsx218-dox.cnam.fr,105,host33.domain170.rsx218-dox.cnam.fr,17.397361ms,21.424314ms
client-1.rsx218-dox.cnam.fr,106,host147.domain14.rsx218-dox.cnam.fr,19.456906ms,21.405745ms
client-1.rsx218-dox.cnam.fr,107,host5.domain150.rsx218-dox.cnam.fr,18.855611ms,21.381907ms
client-1.rsx218-dox.cnam.fr,108,host101.domain130.rsx218-dox.cnam.fr,19.258525ms,21.362241ms
client-1.rsx218-dox.cnam.fr,109,host17.domain196.rsx218-dox.cnam.fr,20.729373ms,21.356431ms
client-1.rsx218-dox.cnam.fr,110,host205.domain73.rsx218-dox.cnam.fr,28.938114ms,21.425355ms
client-1.rsx218-dox.cnam.fr,111,host42.domain9.rsx218-dox.cnam.fr,23.957097ms,21.448162ms
client-1.rsx218-dox.cnam.fr,112,host175.domain236.rsx218-dox.cnam.fr,18.052475ms,21.417839ms
client-1.rsx218-dox.cnam.fr,113,host157.domain23.rsx218-dox.cnam.fr,19.068735ms,21.397044ms
client-1.rsx218-dox.cnam.fr,114,host185.domain74.rsx218-dox.cnam.fr,28.57335ms,21.459991ms
client-1.rsx218-dox.cnam.fr,115,host105.domain215.rsx218-dox.cnam.fr,19.234788ms,21.440635ms
client-1.rsx218-dox.cnam.fr,116,host46.domain24.rsx218-dox.cnam.fr,16.897156ms,21.401466ms
client-1.rsx218-dox.cnam.fr,117,host74.domain220.rsx218-dox.cnam.fr,33.336969ms,21.503470ms
client-1.rsx218-dox.cnam.fr,118,host166.domain198.rsx218-dox.cnam.fr,18.449234ms,21.477585ms
client-1.rsx218-dox.cnam.fr,119,host170.domain101.rsx218-dox.cnam.fr,18.373727ms,21.451496ms
client-1.rsx218-dox.cnam.fr,120,host64.domain119.rsx218-dox.cnam.fr,20.831841ms,21.446325ms
client-1.rsx218-dox.cnam.fr,121,host102.domain137.rsx218-dox.cnam.fr,22.103222ms,21.451752ms
client-1.rsx218-dox.cnam.fr,122,host5.domain184.rsx218-dox.cnam.fr,32.917404ms,21.545730ms
client-1.rsx218-dox.cnam.fr,123,host42.domain58.rsx218-dox.cnam.fr,23.128962ms,21.558593ms
client-1.rsx218-dox.cnam.fr,124,host50.domain237.rsx218-dox.cnam.fr,19.146629ms,21.539137ms
client-1.rsx218-dox.cnam.fr,125,host156.domain41.rsx218-dox.cnam.fr,17.602849ms,21.507640ms
client-1.rsx218-dox.cnam.fr,126,host142.domain247.rsx218-dox.cnam.fr,19.375292ms,21.490714ms
client-1.rsx218-dox.cnam.fr,127,host161.domain43.rsx218-dox.cnam.fr,19.194646ms,21.472630ms
client-1.rsx218-dox.cnam.fr,128,host98.domain66.rsx218-dox.cnam.fr,18.542127ms,21.449734ms
client-1.rsx218-dox.cnam.fr,129,host25.domain13.rsx218-dox.cnam.fr,23.19138ms,21.463233ms
client-1.rsx218-dox.cnam.fr,130,host114.domain139.rsx218-dox.cnam.fr,21.863335ms,21.466308ms
client-1.rsx218-dox.cnam.fr,131,host236.domain75.rsx218-dox.cnam.fr,27.736509ms,21.514168ms
client-1.rsx218-dox.cnam.fr,132,host111.domain173.rsx218-dox.cnam.fr,21.961834ms,21.517553ms
client-1.rsx218-dox.cnam.fr,133,host166.domain220.rsx218-dox.cnam.fr,19.465187ms,21.502120ms
client-1.rsx218-dox.cnam.fr,134,host152.domain104.rsx218-dox.cnam.fr,20.356363ms,21.493567ms
client-1.rsx218-dox.cnam.fr,135,host41.domain164.rsx218-dox.cnam.fr,22.221299ms,21.498956ms
client-1.rsx218-dox.cnam.fr,136,host51.domain90.rsx218-dox.cnam.fr,20.092704ms,21.488610ms
client-1.rsx218-dox.cnam.fr,137,host1.domain23.rsx218-dox.cnam.fr,20.491542ms,21.481328ms
client-1.rsx218-dox.cnam.fr,138,host53.domain187.rsx218-dox.cnam.fr,21.689689ms,21.482833ms
client-1.rsx218-dox.cnam.fr,139,host2.domain96.rsx218-dox.cnam.fr,21.135724ms,21.480331ms
client-1.rsx218-dox.cnam.fr,140,host105.domain223.rsx218-dox.cnam.fr,21.749527ms,21.482250ms
client-1.rsx218-dox.cnam.fr,141,host14.domain158.rsx218-dox.cnam.fr,20.813704ms,21.477504ms
client-1.rsx218-dox.cnam.fr,142,host100.domain223.rsx218-dox.cnam.fr,20.46585ms,21.470373ms
client-1.rsx218-dox.cnam.fr,143,host188.domain238.rsx218-dox.cnam.fr,22.897222ms,21.480350ms
client-1.rsx218-dox.cnam.fr,144,host136.domain237.rsx218-dox.cnam.fr,21.44797ms,21.480118ms
client-1.rsx218-dox.cnam.fr,145,host107.domain31.rsx218-dox.cnam.fr,21.996994ms,21.483676ms
client-1.rsx218-dox.cnam.fr,146,host32.domain99.rsx218-dox.cnam.fr,21.280653ms,21.482281ms
client-1.rsx218-dox.cnam.fr,147,host184.domain117.rsx218-dox.cnam.fr,20.623215ms,21.476435ms
client-1.rsx218-dox.cnam.fr,148,host221.domain21.rsx218-dox.cnam.fr,22.209316ms,21.481385ms
client-1.rsx218-dox.cnam.fr,149,host151.domain196.rsx218-dox.cnam.fr,23.755384ms,21.496644ms
client-1.rsx218-dox.cnam.fr,150,host105.domain249.rsx218-dox.cnam.fr,20.248436ms,21.488320ms
client-1.rsx218-dox.cnam.fr,151,host49.domain206.rsx218-dox.cnam.fr,32.352666ms,21.560265ms
client-1.rsx218-dox.cnam.fr,152,host25.domain41.rsx218-dox.cnam.fr,20.927941ms,21.556099ms
client-1.rsx218-dox.cnam.fr,153,host142.domain128.rsx218-dox.cnam.fr,20.24198ms,21.547503ms
client-1.rsx218-dox.cnam.fr,154,host168.domain180.rsx218-dox.cnam.fr,20.536375ms,21.540935ms
client-1.rsx218-dox.cnam.fr,155,host11.domain175.rsx218-dox.cnam.fr,20.763966ms,21.535916ms
client-1.rsx218-dox.cnam.fr,156,host77.domain68.rsx218-dox.cnam.fr,21.415047ms,21.535141ms
client-1.rsx218-dox.cnam.fr,157,host223.domain247.rsx218-dox.cnam.fr,25.363709ms,21.559522ms
client-1.rsx218-dox.cnam.fr,158,host26.domain123.rsx218-dox.cnam.fr,24.145035ms,21.575886ms
client-1.rsx218-dox.cnam.fr,159,host163.domain221.rsx218-dox.cnam.fr,18.708558ms,21.557849ms
client-1.rsx218-dox.cnam.fr,160,host136.domain94.rsx218-dox.cnam.fr,18.956103ms,21.541588ms
client-1.rsx218-dox.cnam.fr,161,host15.domain245.rsx218-dox.cnam.fr,20.78726ms,21.536901ms
client-1.rsx218-dox.cnam.fr,162,host212.domain122.rsx218-dox.cnam.fr,17.921476ms,21.514580ms
client-1.rsx218-dox.cnam.fr,163,host38.domain1.rsx218-dox.cnam.fr,19.658874ms,21.503190ms
client-1.rsx218-dox.cnam.fr,164,host107.domain133.rsx218-dox.cnam.fr,27.349044ms,21.538835ms
client-1.rsx218-dox.cnam.fr,165,host64.domain78.rsx218-dox.cnam.fr,17.919705ms,21.516897ms
client-1.rsx218-dox.cnam.fr,166,host228.domain223.rsx218-dox.cnam.fr,18.759433ms,21.500283ms
client-1.rsx218-dox.cnam.fr,167,host79.domain133.rsx218-dox.cnam.fr,21.343626ms,21.499341ms
client-1.rsx218-dox.cnam.fr,168,host175.domain242.rsx218-dox.cnam.fr,17.381475ms,21.474827ms
client-1.rsx218-dox.cnam.fr,169,host110.domain138.rsx218-dox.cnam.fr,17.107756ms,21.448982ms
client-1.rsx218-dox.cnam.fr,170,host187.domain100.rsx218-dox.cnam.fr,22.961878ms,21.457876ms
client-1.rsx218-dox.cnam.fr,171,host98.domain232.rsx218-dox.cnam.fr,21.134461ms,21.455982ms
client-1.rsx218-dox.cnam.fr,172,host146.domain213.rsx218-dox.cnam.fr,20.861994ms,21.452523ms
client-1.rsx218-dox.cnam.fr,173,host113.domain121.rsx218-dox.cnam.fr,28.211309ms,21.491590ms
client-1.rsx218-dox.cnam.fr,174,host9.domain243.rsx218-dox.cnam.fr,18.429491ms,21.473989ms
client-1.rsx218-dox.cnam.fr,175,host34.domain230.rsx218-dox.cnam.fr,20.320434ms,21.467394ms
client-1.rsx218-dox.cnam.fr,176,host101.domain248.rsx218-dox.cnam.fr,26.0922ms,21.493670ms
client-1.rsx218-dox.cnam.fr,177,host137.domain3.rsx218-dox.cnam.fr,23.091475ms,21.502695ms
client-1.rsx218-dox.cnam.fr,178,host244.domain250.rsx218-dox.cnam.fr,21.837822ms,21.504573ms
client-1.rsx218-dox.cnam.fr,179,host104.domain97.rsx218-dox.cnam.fr,22.26784ms,21.508832ms
client-1.rsx218-dox.cnam.fr,180,host38.domain14.rsx218-dox.cnam.fr,31.099581ms,21.562111ms
client-1.rsx218-dox.cnam.fr,181,host163.domain143.rsx218-dox.cnam.fr,21.062988ms,21.559348ms
client-1.rsx218-dox.cnam.fr,182,host82.domain73.rsx218-dox.cnam.fr,18.65249ms,21.543374ms
client-1.rsx218-dox.cnam.fr,183,host171.domain91.rsx218-dox.cnam.fr,19.837636ms,21.534049ms
client-1.rsx218-dox.cnam.fr,184,host143.domain49.rsx218-dox.cnam.fr,20.858622ms,21.530375ms
