client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,56,host190.domain201.rsx218-dox.cnam.fr,56.767791ms,57.992304ms
client-1.rsx218-dox.cnam.fr,57,host223.domain7.rsx218-dox.cnam.fr,59.817021ms,58.024316ms
client-1.rsx218-dox.cnam.fr,58,host150.domain61.rsx218-dox.cnam.fr,56.46579ms,57.997431ms
client-1.rsx218-dox.cnam.fr,59,host111.domain153.rsx218-dox.cnam.fr,57.17679ms,57.983508ms
client-1.rsx218-dox.cnam.fr,60,host46.domain101.rsx218-dox.cnam.fr,55.836865ms,57.947717ms
client-1.rsx218-dox.cnam.fr,61,host178.domain204.rsx218-dox.cnam.fr,54.59429ms,57.892738ms
client-1.rsx218-dox.cnam.fr,62,host6.domain76.rsx218-dox.cnam.fr,59.148548ms,57.912984ms
client-1.rsx218-dox.cnam.fr,63,host159.domain239.rsx218-dox.cnam.fr,55.682605ms,57.877571ms
client-1.rsx218-dox.cnam.fr,64,host65.domain31.rsx218-dox.cnam.fr,59.947324ms,57.909906ms
client-1.rsx218-dox.cnam.fr,65,host32.domain29.rsx218-dox.cnam.fr,60.723715ms,57.953185ms
client-1.rsx218-dox.cnam.fr,66,host48.domain90.rsx218-dox.cnam.fr,58.717917ms,57.964758ms
client-1.rsx218-dox.cnam.fr,67,host29.domain104.rsx218-dox.cnam.fr,57.86669ms,57.963284ms
client-1.rsx218-dox.cnam.fr,68,host73.domain3.rsx218-dox.cnam.fr,57.943395ms,57.962985ms
client-1.rsx218-dox.cnam.fr,69,host230.domain125.rsx218-dox.cnam.fr,57.740482ms,57.959754ms
client-1.rsx218-dox.cnam.fr,70,host232.domain244.rsx218-dox.cnam.fr,53.691054ms,57.898771ms
client-1.rsx218-dox.cnam.fr,71,host6.domain204.rsx218-dox.cnam.fr,62.020486ms,57.956817ms
client-1.rsx218-dox.cnam.fr,72,host185.domain186.rsx218-dox.cnam.fr,57.804613ms,57.954694ms
client-1.rsx218-dox.cnam.fr,73,host98.domain23.rsx218-dox.cnam.fr,58.824303ms,57.966603ms
client-1.rsx218-dox.cnam.fr,74,host58.domain104.rsx218-dox.cnam.fr,56.678515ms,57.949189ms
client-1.rsx218-dox.cnam.fr,75,host230.domain179.rsx218-dox.cnam.fr,58.968513ms,57.962773ms
client-1.rsx218-dox.cnam.fr,76,host41.domain126.rsx218-dox.cnam.fr,58.103929ms,57.964618ms
client-1.rsx218-dox.cnam.fr,77,host248.domain211.rsx218-dox.cnam.fr,58.517927ms,57.971792ms
client-1.rsx218-dox.cnam.fr,78,host155.domain166.rsx218-dox.cnam.fr,56.705118ms,57.955551ms
client-1.rsx218-dox.cnam.fr,79,host164.domain189.rsx218-dox.cnam.fr,60.744546ms,57.990848ms
client-1.rsx218-dox.cnam.fr,80,host81.domain88.rsx218-dox.cnam.fr,56.906799ms,57.977287ms
client-1.rsx218-dox.cnam.fr,81,host134.domain204.rsx218-dox.cnam.fr,56.79219ms,57.962654ms
client-1.rsx218-dox.cnam.fr,82,host15.domain33.rsx218-dox.cnam.fr,55.869084ms,57.937122ms
client-1.rsx218-dox.cnam.fr,83,host56.domain40.rsx218-dox.cnam.fr,56.578983ms,57.920747ms
client-1.rsx218-dox.cnam.fr,84,host227.domain28.rsx218-dox.cnam.fr,57.068215ms,57.910595ms
client-1.rsx218-dox.cnam.fr,85,host153.domain192.rsx218-dox.cnam.fr,55.687368ms,57.884435ms
client-1.rsx218-dox.cnam.fr,86,host156.domain12.rsx218-dox.cnam.fr,57.744898ms,57.882802ms
client-1.rsx218-dox.cnam.fr,87,host217.domain191.rsx218-dox.cnam.fr,54.45253ms,57.843368ms
client-1.rsx218-dox.cnam.fr,88,host155.domain16.rsx218-dox.cnam.fr,61.761434ms,57.887886ms
client-1.rsx218-dox.cnam.fr,89,host45.domain183.rsx218-dox.cnam.fr,52.932234ms,57.832202ms
client-1.rsx218-dox.cnam.fr,90,host132.domain155.rsx218-dox.cnam.fr,51.7729ms,57.764867ms
client-1.rsx218-dox.cnam.fr,91,host22.domain58.rsx218-dox.cnam.fr,56.158714ms,57.747209ms
client-1.rsx218-dox.cnam.fr,92,host145.domain83.rsx218-dox.cnam.fr,59.890796ms,57.770500ms
client-1.rsx218-dox.cnam.fr,93,host191.domain30.rsx218-dox.cnam.fr,59.741585ms,57.791688ms
client-1.rsx218-dox.cnam.fr,94,host19.domain177.rsx218-dox.cnam.fr,56.949874ms,57.782723ms
client-1.rsx218-dox.cnam.fr,95,host182.domain81.rsx218-dox.cnam.fr,57.157273ms,57.776137ms
client-1.rsx218-dox.cnam.fr,96,host231.domain96.rsx218-dox.cnam.fr,54.358542ms,57.740531ms
client-1.rsx218-dox.cnam.fr,97,host38.domain139.rsx218-dox.cnam.fr,58.933031ms,57.752825ms
client-1.rsx218-dox.cnam.fr,98,host247.domain62.rsx218-dox.cnam.fr,54.862064ms,57.723327ms
client-1.rsx218-dox.cnam.fr,99,host191.domain123.rsx218-dox.cnam.fr,58.930898ms,57.735515ms
client-1.rsx218-dox.cnam.fr,100,host219.domain174.rsx218-dox.cnam.fr,56.506102ms,57.723220ms
client-1.rsx218-dox.cnam.fr,101,host140.domain244.rsx218-dox.cnam.fr,56.964313ms,57.715703ms
client-1.rsx218-dox.cnam.fr,102,host33.domain179.rsx218-dox.cnam.fr,57.865176ms,57.717167ms
client-1.rsx218-dox.cnam.fr,103,host175.domain198.rsx218-dox.cnam.fr,58.767677ms,57.727359ms
client-1.rsx218-dox.cnam.fr,104,host160.domain177.rsx218-dox.cnam.fr,58.839232ms,57.738048ms
