client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,56,host25.domain242.rsx218-dox.cnam.fr,19.548651ms,21.676786ms
client-1.rsx218-dox.cnam.fr,57,host118.domain41.rsx218-dox.cnam.fr,20.429388ms,21.654895ms
client-1.rsx218-dox.cnam.fr,58,host180.domain193.rsx218-dox.cnam.fr,18.530275ms,21.601017ms
client-1.rsx218-dox.cnam.fr,59,host176.domain174.rsx218-dox.cnam.fr,23.987336ms,21.641458ms
client-1.rsx218-dox.cnam.fr,60,host242.domain41.rsx218-dox.cnam.fr,22.834239ms,21.661333ms
client-1.rsx218-dox.cnam.fr,61,host184.domain93.rsx218-dox.cnam.fr,19.48983ms,21.625721ms
client-1.rsx218-dox.cnam.fr,62,host199.domain55.rsx218-dox.cnam.fr,18.153273ms,21.569710ms
client-1.rsx218-dox.cnam.fr,63,host185.domain209.rsx218-dox.cnam.fr,20.410813ms,21.551302ms
client-1.rsx218-dox.cnam.fr,64,host155.domain107.rsx218-dox.cnam.fr,19.154392ms,21.513844ms
client-1.rsx218-dox.cnam.fr,65,host133.domain216.rsx218-dox.cnam.fr,20.510505ms,21.498400ms
client-1.rsx218-dox.cnam.fr,66,host147.domain32.rsx218-dox.cnam.fr,21.233488ms,21.494379ms
client-1.rsx218-dox.cnam.fr,67,host223.domain200.rsx218-dox.cnam.fr,19.324645ms,21.461985ms
client-1.rsx218-dox.cnam.fr,68,host116.domain16.rsx218-dox.cnam.fr,18.86383ms,21.423765ms
client-1.rsx218-dox.cnam.fr,69,host32.domain201.rsx218-dox.cnam.fr,20.080753ms,21.404290ms
client-1.rsx218-dox.cnam.fr,70,host5.domain153.rsx218-dox.cnam.fr,28.779214ms,21.509643ms
client-1.rsx218-dox.cnam.fr,71,host225.domain94.rsx218-dox.cnam.fr,23.079791ms,21.531746ms
client-1.rsx218-dox.cnam.fr,72,host181.domain133.rsx218-dox.cnam.fr,20.751115ms,21.520903ms
client-1.rsx218-dox.cnam.fr,73,host78.domain196.rsx218-dox.cnam.fr,22.003202ms,21.527507ms
client-1.rsx218-dox.cnam.fr,74,host170.domain147.rsx218-dox.cnam.fr,20.686626ms,21.516135ms
client-1.rsx218-dox.cnam.fr,75,host150.domain49.rsx218-dox.cnam.fr,21.224713ms,21.512240ms
client-1.rsx218-dox.cnam.fr,76,host104.domain123.rsx218-dox.cnam.fr,19.001189ms,21.479197ms
client-1.rsx218-dox.cnam.fr,77,host172.domain237.rsx218-dox.cnam.fr,21.827343ms,21.483714ms
client-1.rsx218-dox.cnam.fr,78,host217.domain224.rsx218-dox.cnam.fr,21.720861ms,21.486744ms
client-1.rsx218-dox.cnam.fr,79,host21.domain57.rsx218-dox.cnam.fr,21.126003ms,21.482177ms
client-1.rsx218-dox.cnam.fr,80,host225.domain228.rsx218-dox.cnam.fr,27.578139ms,21.558375ms
client-1.rsx218-dox.cnam.fr,81,host187.domain129.rsx218-dox.cnam.fr,20.944574ms,21.550790ms
client-1.rsx218-dox.cnam.fr,82,host177.domain192.rsx218-dox.cnam.fr,25.880176ms,21.603585ms
client-1.rsx218-dox.cnam.fr,83,host215.domain193.rsx218-dox.cnam.fr,21.694984ms,21.604675ms
client-1.rsx218-dox.cnam.fr,84,host69.domain191.rsx218-dox.cnam.fr,18.877664ms,21.572202ms
client-1.rsx218-dox.cnam.fr,85,host177.domain78.rsx218-dox.cnam.fr,18.048556ms,21.530741ms
client-1.rsx218-dox.cnam.fr,86,host245.domain245.rsx218-dox.cnam.fr,19.810019ms,21.510733ms
client-1.rsx218-dox.cnam.fr,87,host166.domain250.rsx218-dox.cnam.fr,28.068616ms,21.586103ms
client-1.rsx218-dox.cnam.fr,88,host166.domain176.rsx218-dox.cnam.fr,21.004563ms,21.579489ms
client-1.rsx218-dox.cnam.fr,89,host75.domain126.rsx218-dox.cnam.fr,26.602453ms,21.635921ms
client-1.rsx218-dox.cnam.fr,90,host136.domain220.rsx218-dox.cnam.fr,20.89447ms,21.627678ms
client-1.rsx218-dox.cnam.fr,91,host154.domain24.rsx218-dox.cnam.fr,24.368089ms,21.657791ms
client-1.rsx218-dox.cnam.fr,92,host67.domain96.rsx218-dox.cnam.fr,20.409502ms,21.644217ms
client-1.rsx218-dox.cnam.fr,93,host140.domain59.rsx218-dox.cnam.fr,20.916997ms,21.636387ms
client-1.rsx218-dox.cnam.fr,94,host195.domain82.rsx218-dox.cnam.fr,20.835803ms,21.627862ms
client-1.rsx218-dox.cnam.fr,95,host163.domain161.rsx218-dox.cnam.fr,20.836158ms,21.619526ms
client-1.rsx218-dox.cnam.fr,96,host49.domain158.rsx218-dox.cnam.fr,18.533899ms,21.587375ms
client-1.rsx218-dox.cnam.fr,97,host228.domain18.rsx218-dox.cnam.fr,20.236914ms,21.573443ms
client-1.rsx218-dox.cnam.fr,98,host136.domain224.rsx218-dox.cnam.fr,21.047781ms,21.568071ms
client-1.rsx218-dox.cnam.fr,99,host195.domain24.rsx218-dox.cnam.fr,26.953456ms,21.622465ms
client-1.rsx218-dox.cnam.fr,100,host130.domain33.rsx218-dox.cnam.fr,20.563508ms,21.611870ms
client-1.rsx218-dox.cnam.fr,101,host216.domain141.rsx218-dox.cnam.fr,20.176197ms,21.597653ms
client-1.rsx218-dox.cnam.fr,102,host134.domain135.rsx218-dox.cnam.fr,20.782322ms,21.589657ms
client-1.rsx218-dox.cnam.fr,103,host179.domain28.rsx218-dox.cnam.fr,21.691862ms,21.590641ms
client-1.rsx218-dox.cnam.fr,104,host202.domain212.rsx218-dox.cnam.fr,20.408674ms,21.579269ms
client-1.rsx218-dox.cnam.fr,105,host91.domain129.rsx218-dox.cnam.fr,19.864829ms,21.562933ms
client-1.rsx218-dox.cnam.fr,106,host94.domain125.rsx218-dox.cnam.fr,21.141128ms,21.558953ms
client-1.rsx218-dox.cnam.fr,107,host92.domain113.rsx218-dox.cnam.fr,20.75195ms,21.551402ms
client-1.rsx218-dox.cnam.fr,108,host228.domain124.rsx218-dox.cnam.fr,20.848397ms,21.544889ms
client-1.rsx218-dox.cnam.fr,109,host218.domain0.rsx218-dox.cnam.fr,31.00447ms,21.631670ms
client-1.rsx218-dox.cnam.fr,110,host48.domain73.rsx218-dox.cnam.fr,20.578318ms,21.622091ms
client-1.rsx218-dox.cnam.fr,111,host194.domain53.rsx218-dox.cnam.fr,19.289795ms,21.601072ms
client-1.rsx218-dox.cnam.fr,112,host79.domain104.rsx218-dox.cnam.fr,20.659579ms,21.592661ms
client-1.rsx218-dox.cnam.fr,113,host83.domain181.rsx218-dox.cnam.fr,20.817254ms,21.585796ms
client-1.rsx218-dox.cnam.fr,114,host167.domain41.rsx218-dox.cnam.fr,20.793958ms,21.578842ms
client-1.rsx218-dox.cnam.fr,115,host145.domain223.rsx218-dox.cnam.fr,19.082566ms,21.557130ms
client-1.rsx218-dox.cnam.fr,116,host100.domain74.rsx218-dox.cnam.fr,21.586986ms,21.557379ms
client-1.rsx218-dox.cnam.fr,117,host229.domain198.rsx218-dox.cnam.fr,30.882181ms,21.637077ms
client-1.rsx218-dox.cnam.fr,118,host234.domain179.rsx218-dox.cnam.fr,18.932213ms,21.614153ms
client-1.rsx218-dox.cnam.fr,119,host158.domain94.rsx218-dox.cnam.fr,32.475521ms,21.705420ms
client-1.rsx218-dox.cnam.fr,120,host56.domain243.rsx218-dox.cnam.fr,23.279873ms,21.718533ms
client-1.rsx218-dox.cnam.fr,121,host171.domain110.rsx218-dox.cnam.fr,19.960051ms,21.704000ms
client-1.rsx218-dox.cnam.fr,122,host138.domain186.rsx218-dox.cnam.fr,21.108681ms,21.699115ms
client-1.rsx218-dox.cnam.fr,123,host26.domain34.rsx218-dox.cnam.fr,30.889524ms,21.773829ms
client-1.rsx218-dox.cnam.fr,124,host56.domain219.rsx218-dox.cnam.fr,21.170715ms,21.768960ms
client-1.rsx218-dox.cnam.fr,125,host108.domain160.rsx218-dox.cnam.fr,42.240485ms,21.932728ms
client-1.rsx218-dox.cnam.fr,126,host29.domain159.rsx218-dox.cnam.fr,27.122947ms,21.973913ms
client-1.rsx218-dox.cnam.fr,127,host85.domain137.rsx218-dox.cnam.fr,21.096639ms,21.967000ms
client-1.rsx218-dox.cnam.fr,128,host225.domain90.rsx218-dox.cnam.fr,20.818504ms,21.958023ms
client-1.rsx218-dox.cnam.fr,129,host130.domain85.rsx218-dox.cnam.fr,19.794483ms,21.941248ms
client-1.rsx218-dox.cnam.fr,130,host128.domain182.rsx218-dox.cnam.fr,26.472316ms,21.976100ms
client-1.rsx218-dox.cnam.fr,131,host21.domain203.rsx218-dox.cnam.fr,20.155124ms,21.962198ms
client-1.rsx218-dox.cnam.fr,132,host39.domain165.rsx218-dox.cnam.fr,20.706874ms,21.952682ms
client-1.rsx218-dox.cnam.fr,133,host150.domain141.rsx218-dox.cnam.fr,20.210802ms,21.939579ms
client-1.rsx218-dox.cnam.fr,134,host59.domain54.rsx218-dox.cnam.fr,26.736126ms,21.975373ms
client-1.rsx218-dox.cnam.fr,135,host217.domain4.rsx218-dox.cnam.fr,21.850984ms,21.974444ms
client-1.rsx218-dox.cnam.fr,136,host232.domain129.rsx218-dox.cnam.fr,20.959887ms,21.966978ms
client-1.rsx218-dox.cnam.fr,137,host204.domain89.rsx218-dox.cnam.fr,17.935358ms,21.937547ms
client-1.rsx218-dox.cnam.fr,138,host201.domain226.rsx218-dox.cnam.fr,20.987068ms,21.930659ms
client-1.rsx218-dox.cnam.fr,139,host67.domain77.rsx218-dox.cnam.fr,21.829139ms,21.929928ms
client-1.rsx218-dox.cnam.fr,140,host77.domain60.rsx218-dox.cnam.fr,41.177189ms,22.067407ms
client-1.rsx218-dox.cnam.fr,141,host214.domain135.rsx218-dox.cnam.fr,22.007454ms,22.066979ms
client-1.rsx218-dox.cnam.fr,142,host134.domain225.rsx218-dox.cnam.fr,19.710439ms,22.050380ms
client-1.rsx218-dox.cnam.fr,143,host38.domain42.rsx218-dox.cnam.fr,20.286656ms,22.038042ms
client-1.rsx218-dox.cnam.fr,144,host21.domain108.rsx218-dox.cnam.fr,20.355063ms,22.026354ms
client-1.rsx218-dox.cnam.fr,145,host30.domain243.rsx218-dox.cnam.fr,20.946185ms,22.018903ms
client-1.rsx218-dox.cnam.fr,146,host191.domain45.rsx218-dox.cnam.fr,18.953064ms,21.997904ms
client-1.rsx218-dox.cnam.fr,147,host167.domain127.rsx218-dox.cnam.fr,19.387881ms,21.980143ms
client-1.rsx218-dox.cnam.fr,148,host111.domain185.rsx218-dox.cnam.fr,20.547995ms,21.970459ms
client-1.rsx218-dox.cnam.fr,149,host105.domain99.rsx218-dox.cnam.fr,19.368182ms,21.952993ms
client-1.rsx218-dox.cnam.fr,150,host20.domain1.rsx218-dox.cnam.fr,20.312752ms,21.942053ms
client-1.rsx218-dox.cnam.fr,151,host15.domain70.rsx218-dox.cnam.fr,18.36611ms,21.918371ms
client-1.rsx218-dox.cnam.fr,152,host23.domain246.rsx218-dox.cnam.fr,19.652696ms,21.903461ms
client-1.rsx218-dox.cnam.fr,153,host108.domain144.rsx218-dox.cnam.fr,29.80952ms,21.955131ms
client-1.rsx218-dox.cnam.fr,154,host238.domain122.rsx218-dox.cnam.fr,20.74851ms,21.947292ms
client-1.rsx218-dox.cnam.fr,155,host153.domain80.rsx218-dox.cnam.fr,28.422427ms,21.989065ms
client-1.rsx218-dox.cnam.fr,156,host222.domain104.rsx218-dox.cnam.fr,20.533844ms,21.979731ms
client-1.rsx218-dox.cnam.fr,157,host24.domain204.rsx218-dox.cnam.fr,20.238152ms,21.968637ms
client-1.rsx218-dox.cnam.fr,158,host162.domain85.rsx218-dox.cnam.fr,29.068752ms,22.013570ms
client-1.rsx218-dox.cnam.fr,159,host109.domain222.rsx218-dox.cnam.fr,20.390938ms,22.003358ms
client-1.rsx218-dox.cnam.fr,160,host216.domain31.rsx218-dox.cnam.fr,19.534829ms,21.987925ms
client-1.rsx218-dox.cnam.fr,161,host112.domain23.rsx218-dox.cnam.fr,20.343819ms,21.977708ms
client-1.rsx218-dox.cnam.fr,162,host211.domain100.rsx218-dox.cnam.fr,20.222851ms,21.966870ms
client-1.rsx218-dox.cnam.fr,163,host22.domain4.rsx218-dox.cnam.fr,18.646061ms,21.946497ms
client-1.rsx218-dox.cnam.fr,164,host133.domain162.rsx218-dox.cnam.fr,21.229947ms,21.942122ms
client-1.rsx218-dox.cnam.fr,165,host99.domain102.rsx218-dox.cnam.fr,20.810381ms,21.935261ms
client-1.rsx218-dox.cnam.fr,166,host55.domain170.rsx218-dox.cnam.fr,21.233974ms,21.931030ms
client-1.rsx218-dox.cnam.fr,167,host216.domain59.rsx218-dox.cnam.fr,19.4333ms,21.916072ms
client-1.rsx218-dox.cnam.fr,168,host51.domain174.rsx218-dox.cnam.fr,20.992667ms,21.910571ms
client-1.rsx218-dox.cnam.fr,169,host196.domain66.rsx218-dox.cnam.fr,20.01011ms,21.899325ms
client-1.rsx218-dox.cnam.fr,170,host193.domain235.rsx218-dox.cnam.fr,19.947769ms,21.887841ms
client-1.rsx218-dox.cnam.fr,171,host26.domain71.rsx218-dox.cnam.fr,20.202928ms,21.877982ms
client-1.rsx218-dox.cnam.fr,172,host32.domain23.rsx218-dox.cnam.fr,23.281223ms,21.886140ms
client-1.rsx218-dox.cnam.fr,173,host68.domain242.rsx218-dox.cnam.fr,20.691299ms,21.879231ms
client-1.rsx218-dox.cnam.fr,174,host238.domain31.rsx218-dox.cnam.fr,25.957549ms,21.902667ms
client-1.rsx218-dox.cnam.fr,175,host16.domain70.rsx218-dox.cnam.fr,19.351893ms,21.888086ms
client-1.rsx218-dox.cnam.fr,176,host221.domain77.rsx218-dox.cnam.fr,28.088116ms,21.923313ms
client-1.rsx218-dox.cnam.fr,177,host208.domain33.rsx218-dox.cnam.fr,19.980859ms,21.912333ms
client-1.rsx218-dox.cnam.fr,178,host17.domain6.rsx218-dox.cnam.fr,36.417724ms,21.993820ms
client-1.rsx218-dox.cnam.fr,179,host187.domain47.rsx218-dox.cnam.fr,21.647491ms,21.991883ms
client-1.rsx218-dox.cnam.fr,180,host30.domain136.rsx218-dox.cnam.fr,20.431771ms,21.983211ms
client-1.rsx218-dox.cnam.fr,181,host221.domain233.rsx218-dox.cnam.fr,22.979335ms,21.988713ms
client-1.rsx218-dox.cnam.fr,182,host105.domain160.rsx218-dox.cnam.fr,20.673678ms,21.981484ms
client-1.rsx218-dox.cnam.fr,183,host237.domain230.rsx218-dox.cnam.fr,32.595501ms,22.039481ms
client-1.rsx218-dox.cnam.fr,184,host84.domain20.rsx218-dox.cnam.fr,24.538975ms,22.053060ms
client-1.rsx218-dox.cnam.fr,185,host7.domain195.rsx218-dox.cnam.fr,24.247608ms,22.064919ms
client-1.rsx218-dox.cnam.fr,186,host33.domain79.rsx218-dox.cnam.fr,22.132885ms,22.065280ms
client-1.rsx218-dox.cnam.fr,187,host140.domain89.rsx218-dox.cnam.fr,20.707161ms,22.058016ms
client-1.rsx218-dox.cnam.fr,188,host10.domain65.rsx218-dox.cnam.fr,20.789766ms,22.051266ms
client-1.rsx218-dox.cnam.fr,189,host235.domain171.rsx218-dox.cnam.fr,20.456607ms,22.042825ms
client-1.rsx218-dox.cnam.fr,190,host163.domain217.rsx218-dox.cnam.fr,22.200695ms,22.043653ms
client-1.rsx218-dox.cnam.fr,191,host112.domain129.rsx218-dox.cnam.fr,23.272018ms,22.050084ms
client-1.rsx218-dox.cnam.fr,192,host168.domain85.rsx218-dox.cnam.fr,21.290548ms,22.046125ms
client-1.rsx218-dox.cnam.fr,193,host219.domain126.rsx218-dox.cnam.fr,21.913601ms,22.045435ms
client-1.rsx218-dox.cnam.fr,194,host103.domain56.rsx218-dox.cnam.fr,20.97797ms,22.039928ms
client-1.rsx218-dox.cnam.fr,195,host112.domain221.rsx218-dox.cnam.fr,30.26497ms,22.082103ms
client-1.rsx218-dox.cnam.fr,196,host38.domain74.rsx218-dox.cnam.fr,20.558149ms,22.074327ms
client-1.rsx218-dox.cnam.fr,197,host28.domain124.rsx218-dox.cnam.fr,20.967112ms,22.068706ms
client-1.rsx218-dox.cnam.fr,198,host63.domain54.rsx218-dox.cnam.fr,27.944122ms,22.098379ms
